Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
   481	-1.28828e-13	1.8e-08	3.3e-08
   482	-1.84094e-13	1.8e-08	3.3e-08
   483	-9.82251e-14	1.8e-08	3.3e-08
   484	-2.02588e-13	1.8e-08	3.3e-08
   485	-1.57257e-13	1.8e-08	3.3e-08
   486	-1.79159e-13	1.8e-08	3.3e-08
   487	-1.78812e-13	1.8e-08	3.3e-08
   488	-1.17964e-13	1.8e-08	3.3e-08
   489	-1.78744e-13	1.8e-08	3.3e-08
   490	-1.15964e-13	1.8e-08	3.3e-08
   491	-3.01783e-13	1.8e-08	3.3e-08
   492	-1.17515e-13	1.8e-08	3.3e-08
   493	-8.89911e-14	1.8e-08	3.3e-08
   494	-1.97521e-13	1.8e-08	3.3e-08
   495	-2.22774e-13	1.8e-08	3.3e-08
   496	-1.52408e-13	1.8e-08	3.3e-08
   497	-8.85088e-14	1.8e-08	3.3e-08
   498	-1.5753e-13	1.8e-08	3.3e-08
   499	-2.29233e-13	1.8e-08	3.3e-08
   500	-7.61888e-14	1.8e-08	3.3e-08
   501	-7.31199e-14	1.8e-08	3.3e-08
   502	-2.02314e-13	1.8e-08	3.3e-08
   503	-2.20103e-13	1.8e-08	3.3e-08
   504	-1.65032e-13	1.8e-08	3.3e-08
   505	-8.60687e-14	1.8e-08	3.3e-08
   506	-2.02521e-13	1.8e-08	3.3e-08
   507	-1.38568e-13	1.8e-08	3.3e-08
   508	-1.95097e-13	1.8e-08	3.3e-08
   509	-2.23874e-13	1.8e-08	3.3e-08
   510	-1.94366e-13	1.8e-08	3.3e-08
   511	-9.83362e-14	1.8e-08	3.3e-08
   512	-2.22959e-13	1.8e-08	3.3e-08
   513	-1.94696e-13	1.8e-08	3.3e-08
   514	-1.72194e-13	1.8e-08	3.3e-08
   515	-1.66357e-13	1.8e-08	3.3e-08
   516	-1.15939e-13	1.8e-08	3.3e-08
   517	-1.04772e-13	1.8e-08	3.3e-08
   518	-1.34528e-13	1.8e-08	3.3e-08
   519	-7.16137e-14	1.8e-08	3.3e-08
   520	-1.66871e-13	1.8e-08	3.3e-08
   521	-1.64663e-13	1.8e-08	3.3e-08
